source,target
ಅಂಕಂಗೊಳ್,ಅಂಕಂಗುಡು
ಅಂಕಕಾರ್ತಿ,ಅಂಕಕಾತಿ ವೀರನಾರಿ
ಅಂಕಕಾಗಾ,ಅಂಕವೆಂಬ ದ್ವಂದ್ವಯುದ್ಧ ಮಾಡುವವನು ವೃತ್ತಿ ವೀರ
ಅಂಕಕಾ,ಅಂಕವೆಂಬ ದ್ವಂದ್ವಯುದ್ಧ ಮಾಡುವವನು ವೃತ್ತಿ ವೀರ
ಅಂಕಣಿ,ಸಂಜ್ಞೆ
ಅಂಕತಳ,ತೊಡೆಯ ಮೇಲ್ಭಾಗ
ಅಂಕತ್ರಿಣೇತ್ರ,ರುದ್ರನಂತೆ ಯುದ್ಧ ಮಾಡುವವನು
ಅಂಕದಂಬು,ಹೆಸರುವಾಸಿಯಾದ ಬಾಣ
ಅಂಕದೌಷಧ,ಬಳಮರ್ದು ಪ್ರಸಿದ್ಧವಾದ ಔಷಧ
ಅಂಕವಣೆ,ಕುದುರೆಯ ರಿಕಾಪು ರಣಹಲಗೆ
ಅಂಕವಾತು,ಯುದ್ಧದ ಮಾತು
ಅಂಕಿತ,ಕುದುರೆಯ ಓಟದ ಒಂದು ಬಗೆ ಗುರುತು
ಅಂಕಿಸು,ಅಧೀನ ಮಾಡಿಕೊ
ಅಂಕು,ಸೊಟ್ಟಗಿರುವುದು ಸೊಟ್ಟಾಗು
ಅಂಕುರ,ಮೊಳಕೆ ಚಿಗುರು ರೋಮ ರಕ್ತ
ಅಂಕುರಿಸು,ಮೊಳಕೆಯೊಡೆ ಉಂಟಾಗು ನವಿರೇಳಿಸು
ಅಂಕುಶ,ಆನೆಯನ್ನು ನಿಯಂತ್ರಿಸುವ ಆಯುಧ ಸೃಣಿ
ಅಂಕುಸ,ಅಂಕುಶ ನಿಯಾಮಕ
ಅಂಕುಶಚಾರಣ,ಅಂಕುಶದಿಂದ ಆನೆಯನ್ನು ನಡೆಸು
ಅಂಕುಸವಿಡು,ಅಡ್ಡಿಮಾಡು
ಅಂಕುಸಸಾರಣೆ,ಅಂಕುಶಚಾರಣ
ಅಂಕೆಗೊಳ್,ಕೈವಶವಾಗು ಹತೋಟಿಗೆ ಬರು
ಅಂಗ,ಅವಯವ ಪ್ರಕಾರ ಯೋಗ್ಯ ಒಂದು ದೇಶದ ಹೆಸರು ಜೈನಾಗಮದ ಒಂದು ವಿಭಾಗ
ಅಂಗಕಲ್ಪಕುಜ,ಕೇಳಿದ್ದನ್ನು ಕೊಡುವ ಹತ್ತು ಬಗೆಯ ಕಲ್ಪವೃಕ್ಷಗಳು ಮದ್ಯ ಭೂಷಣ ವಸ್ತ್ರ ತೂರ್ಯ ಮಾಲ್ಯ ಗೃಹ ಭಾಜನ ಭೋಜನ ದೀಪ ಜ್ಯೋತಿ
ಅಂಗಜ,ಮನ್ಮಥ
ಅಂಗಜನ್ಮ,ಅಂಗಜ
ಅಂಗಜ ಮಹೀಷ,ಮನ್ಮಥ ರಾಜ
ಅಂಗಜಾಗಮ,ಕಾಮಶಾಸ್ತ್ರ
ಅಂಗಡಿ,ವ್ಯಾಪಾರದ ಸ್ಥಳ
ಅಂಗಡಿಯಲವಡ,ಅಂಗಡಿಬೀದಿಯಲ್ಲಿ ಅಲೆಯುವವನು
ಅಂಗಡಿಸೂಱೆ,ಅಂಗಡಿಯನ್ನು ಸೂರೆಮಾಡುವುದು
ಅಂಗಣ,ಅಂಗಳ ಮನೆಗೆ ಸೇರಿದ ಬಯಲು
ಅಂಗಣವಲಯ,ಅಂಗಳದ ಸುತ್ತು ಆವರಣ
ಅಂಗಣವಾವಿ,ಅಂಗಣದಲ್ಲಿನ ಬಾವಿ
ಅಂಗದ,ಭುಜಕೀರ್ತಿ ತೋಳುಬಳೆ
ಅಂಗಪತಿ,ಅಂಗರಾಜ್ಯದ ಒಡೆಯ ಕರ್ಣ
ಅಂಗಯಷ್ಟಿ,ಯಷ್ಟಿಹಾರ ಯಷ್ಟಿಯಂತೆ ತೆಳ್ಳಗಿರುವ ದೇಹ
ಅಂಗಯ್ಸು,ಘೋಷಿಸು ಒಪ್ಪುವಂತೆ ಮಾಡು
ಅಂಗರ,ಕೆಂಡ
ಅಂಗರಕ್ಕೆ,ಅಂಗರಕ್ಷಾ ಮೈಗಾವಲಭಟ ಮೈಯ ರಕ್ಷಣೆಯ ವಸ್ತು ಕವಚ
ಅಂಗರವೋಳಿಗೆ,ಅಂಗಾರಸ್ಫೋಟಿಕೆ ಕೆಂಡದ ಮೇಲೆ ಸುಟ್ಟ ರೊಟ್ಟಿ
ಅಂಗಹಾರ,ನೃತ್ಯ ನಟನೆ
ಅಂಗಾರ,ಕೆಂಡ
ಅಂಗಾಲ್,ಕಾಲಅಡಿ ಪಾದದ ಕೆಳಭಾಗ
ಅಂಗಾಲು,ಕಾಲಅಡಿ ಪಾದದ ಕೆಳಭಾಗ
ಅಂಗಿಕೆ,ಅಂಗಿ ಕವಚ
ಅಂಗೀಕರಿಸು,ತನ್ನದಾಗಿಮಾಡಿಕೊ
ಅಂಗುಟ,ಕಾಲಿನಹೆಬ್ಬೆರಳು
ಅಂಗುಲಿಕ್ರಿಯೆ,ಬೆರಳಿನಿಂದ ಮಾಡುವ ಕೆಲಸ
ಅಂಗುಲಿಪ್ರಹರಣ,ಬೆರಳಿಂದಹೊಡೆಯುವುದು
ಅಂಗುಲಿಕ,ಉಂಗುರ
ಅಂಗುಲೀಯ,ಉಂಗುರ
ಅಂಗೆಯ್,ಅಂಗೈ ಕರತಲ
ಸೊಗಯಿಸಿ,ಸೊಗಸಾಗಿ
ಮಾಮರನೆ,ಮಾವಿನ ಮರ
ತಳ್ತೆಲೆವಳ್ಳಿಯೆ,ವಿಳ್ಳೆಯದೆಲೆಯ
